id,fecha,iniciador,objetivo,provincia,fuente
32,2016-01-11,Gobierno Sirio,Oposicion,Damasco Rural,Media
33,2016-06-29,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
34,2016-05-09,Oposicion,Oposicion,Damasco,SOHR
35,2016-07-06,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
36,2016-10-11,Gobierno Sirio,Oposicion,Damasco Rural,Twitter
37,2016-10-31,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
38,2016-07-07,Oposicion,Gobierno Sirio,Damasco Rural,SOHR
39,2015-05-06,Gobierno Sirio,Oposicion,Damasco Rural,SOHR
40,2015-05-23,ISIS,Gobierno Sirio,Damasco,SOHR
41,2015-12-10,ISIS,Gobierno Sirio,Homs,SOHR
42,2015-05-21,ISIS,Gobierno Sirio,Homs,SOHR
43,2015-11-22,Gobierno Sirio,ISIS,Homs,Media
44,2015-12-28,Gobierno Sirio,ISIS,Homs,SOHR
45,2016-03-27,Gobierno Sirio,ISIS,Homs,SOHR
46,2016-03-27,Gobierno Sirio,ISIS,Homs,SOHR
47,2016-03-25,Gobierno Sirio,ISIS,Homs,Twitter
48,2017-06-15,Gobierno Sirio,ISIS,Homs,SOHR
49,2017-06-14,Gobierno Sirio,ISIS,Homs,SOHR
50,2017-04-26,Gobierno Sirio,ISIS,Homs,SOHR
51,2015-05-12,ISIS,Gobierno Sirio,Homs,SOHR
52,2017-02-01,Gobierno Sirio,Oposicion,Hama,SOHR
53,2015-12-13,Gobierno Sirio,Oposicion,Hama,SOHR
